Date,Open,High,Low,Close,Adj Close,Volume
2021-08-16,18.440001,18.850000,18.430000,18.660000,18.442009,13912658
2021-08-17,18.660000,18.670000,17.910000,17.930000,17.720537,20593499
2021-08-18,17.920000,18.110001,17.850000,18.020000,17.809486,10444024
2021-08-19,17.959999,18.090000,17.780001,17.809999,17.601938,12528187
2021-08-20,17.770000,17.770000,17.309999,17.680000,17.473457,10963559
2021-08-23,17.580000,17.910000,17.440001,17.629999,17.424040,16272291
2021-08-24,17.680000,18.440001,17.650000,18.420000,18.204813,21482424
2021-08-25,18.280001,18.500000,18.049999,18.150000,17.937967,19135570
2021-08-26,18.000000,18.030001,17.340000,17.389999,17.186844,24146224
2021-08-27,17.360001,17.500000,17.110001,17.180000,16.979300,14508918
2021-08-30,17.180000,17.549999,17.010000,17.330000,17.127546,14641701
2021-08-31,17.309999,17.309999,16.879999,17.100000,16.900234,15074989
2021-09-01,17.200001,17.389999,17.000000,17.330000,17.127546,13240365
2021-09-02,17.400000,17.430000,17.110001,17.150000,16.949648,13492125
2021-09-03,17.110001,17.350000,17.010000,17.190001,16.989182,12857214
2021-09-06,17.299999,17.680000,17.209999,17.610001,17.404276,18373119
2021-09-07,17.610001,17.680000,17.430000,17.639999,17.433924,13348643
2021-09-08,17.690001,17.730000,17.540001,17.610001,17.404276,11062787
2021-09-09,17.549999,17.650000,17.400000,17.430000,17.226377,11729690
2021-09-10,17.430000,17.440001,17.230000,17.299999,17.097897,11449934
2021-09-13,17.549999,17.900000,17.549999,17.670000,17.463573,17615175
2021-09-14,17.700001,17.830000,17.370001,17.400000,17.196728,14694165
2021-09-15,17.299999,17.299999,16.930000,17.139999,16.939766,11649918
2021-09-16,17.120001,17.250000,16.930000,16.930000,16.732220,13075994
2021-09-17,16.860001,17.330000,16.830000,17.100000,16.900234,12024317
2021-09-22,16.950001,17.389999,16.889999,17.180000,16.979300,8496665
2021-09-23,17.190001,17.299999,17.090000,17.129999,16.929882,8899707
2021-09-24,17.150000,17.230000,17.030001,17.090000,16.890350,8554248
2021-09-27,16.959999,17.200001,16.850000,16.910000,16.712452,11203516
2021-09-28,16.780001,16.940001,16.750000,16.850000,16.653154,7377347
2021-09-29,16.760000,16.860001,16.520000,16.520000,16.327009,9958219
2021-09-30,16.580000,16.760000,16.580000,16.629999,16.435722,5371936
2021-10-08,16.629999,16.920000,16.600000,16.870001,16.672920,8220212
2021-10-11,17.020000,17.040001,16.690001,16.790001,16.593855,8948980
2021-10-12,16.790001,16.879999,16.600000,16.660000,16.465374,7915436
